> -L"parana_flood500_zalan1987" 500
-49.991103388 -22.8289875291 700
-50.0098161924 -23.1658180072 700
-50.5524875182 -23.5494304961 700
-51.211050076 -23.8812044079 700
-51.4169675042 -24.0526538967 700
-51.3816372575 -24.6179378436 700
-51.3337898775 -24.9379710536 700
-51.4329461348 -25.1362835681 700
-51.6202412875 -25.2354398254 700
-51.7524496305 -25.4007002542 700
-51.7304149067 -25.6430822165 700
-51.7193975447 -25.852412093 700
-51.6202412875 -26.1058114171 700
-51.5210850302 -26.2931065698 700
-51.3117551537 -26.5024364463 700
-51.3007377918 -26.81092258 700
-51.4219287729 -26.8770267516 700
-51.7744843543 -26.7888878562 700
-51.8846579735 -26.7888878562 700
-52.0719531262 -26.821939942 700
-52.1600920216 -27.0202524565 700
-52.1821267454 -27.2626344188 700
-52.1380572977 -27.4719642953 700
-51.961779507 -27.6592594479 700
-51.7634669924 -27.648242086 700
-51.4549808587 -27.4499295714 700
-51.135477363 -27.4058601237 700
-50.7939391434 -27.4609469333 700
-50.5295224573 -27.5931552764 700
-50.1108627044 -27.8024851529 700
-49.7362723991 -28.0889365628 700
-49.4938904368 -28.3313185251 700
-49.615081418 -28.5075963158 700
-49.7362723991 -28.8160824495 700
-49.8574633802 -29.1025338595 700
-50.1584681691 -29.3757302704 700
-50.509092617 -29.5097925593 700
-51.0969041914 -29.5304175268 700
-51.2930132576 -29.5151206759 700
-51.6599658048 -29.2159830924 700
-51.9539088328 -28.8936608565 700
-52.3005025 -28.8136777025 700
-52.7715144065 -28.8136777025 700
-53.0381249197 -28.7959036683 700
-53.3912459692 -28.6075618046 700
-53.6712404297 -28.2592760121 700
-53.8214813598 -27.7334327569 700
-53.9102600912 -27.1392981698 700
-53.8761144253 -26.4154100522 700
-53.643923897 -25.8963959301 700
-53.384416836 -25.3500652754 700
-53.0771058427 -24.9403172843 700
-52.9253852671 -24.765295237 700
-52.9968715168 -24.5703327378 700
-53.1138490163 -24.5963277377 700
-53.458282765 -24.8237839868 700
-53.7897190137 -24.8822727366 700
-54.0691652626 -24.8432802367 700
-54.218636512 -24.7263027372 700
-54.3616090114 -24.5703327378 700
-54.5110802608 -24.3038839889 700
-54.5665885598 -23.8659831793 700
-54.52076404 -23.4581412131 700
-54.4398975868 -23.1548920138 700
-54.3791673455 -22.6732387666 700
-54.1529543897 -22.2782462525 700
-54.129916818 -21.7839693009 700
-53.8649847434 -21.3692930102 700
-53.4733460244 -21.150436079 700
-52.8743691601 -20.9430979337 700
-52.2869110817 -20.7472785742 700
> -L"parana_flood900_zalan1987" 900
-50.1729634672 -20.598276607 900
-50.4603354479 -20.6461719371 900
-50.8075765911 -20.7539364298 900
-51.5410128052 -20.8256539841 900
-52.1013274068 -20.9239547914 900
-52.7107924121 -21.1500466482 900
-53.1924663679 -21.376138505 900
-53.5686950899 -21.7422542219 900
-53.9694724169 -22.5299889681 900
-54.1629511265 -23.3039038065 900
-54.1491312187 -23.7737806727 900
-53.9971122326 -24.1330982762 900
-53.735739229 -24.2811841733 900
-53.5610143251 -24.3050102965 900
-53.3465792157 -24.25735805 900
-53.1400861474 -24.0985172282 900
-53.020955531 -23.9158502832 900
-52.9097669558 -23.8046617079 900
-52.7668102162 -23.812603749 900
-52.6953318464 -23.9793866119 900
-52.6715057231 -24.2891262143 900
-52.5523751068 -24.432082954 900
-52.5736617263 -24.5891552345 900
-52.5920853122 -24.7418225564 900
-52.6794477642 -24.8609531728 900
-52.9812453256 -25.3692438025 900
-53.3148110513 -25.8139981035 900
-53.402856196 -26.164624727 900
-53.4739136172 -26.7383015708 900
-53.5334617144 -27.1789574907 900
-53.4262751393 -27.7982577025 900
-53.1342009183 -28.2271793703 900
-52.8489582666 -28.3507845193 900
-52.5542075266 -28.3127521658 900
-52.2485933051 -28.2282577074 900
-51.9601914701 -28.100249659 900
-51.7025448312 -27.9923975776 900
-51.5946927498 -27.9504551015 900
-51.4209310631 -27.9444633192 900
-51.3395319609 -27.9819985866 900
-51.2664767901 -28.0550537574 900
-51.2372547217 -28.2303861675 900
-51.1788105851 -28.5006902996 900
-50.9775391729 -28.51967442 900
-50.7198925339 -28.5436415492 900
-50.5797581841 -28.3472744409 900
-50.5432305987 -28.186553065 900
-50.6382023208 -27.930859967 900
-50.8354512821 -27.8139716936 900
-51.0180892092 -27.6970834203 900
-51.2831200702 -27.6328906395 900
-51.4748571038 -27.6748331156 900
-51.7205201781 -27.8126441085 900
-51.8822983002 -27.8785537139 900
-52.0201092931 -27.84260302 900
-52.1818874153 -27.7107838094 900
-52.295731279 -27.4950796466 900
-52.3376737551 -27.1954905316 900
-52.2837477144 -26.8959014166 900
-52.1519285038 -26.7101561652 900
-51.918248994 -26.5963123015 900
-51.5647338383 -26.6202794307 900
-51.4491147172 -26.6670055113 900
-51.4491147172 -26.557422755 900
-51.7267243664 -26.3236462083 900
-51.8822983002 -26.0570518945 900
-52.1039942454 -25.7035367388 900
-52.130817649 -25.4457919274 900
-52.0718371646 -25.2098699899 900
-51.9637062766 -25.0132683753 900
-51.8850656308 -24.8756472451 900
-51.8064249849 -24.7970065992 900
-51.5803331281 -24.7970065992 900
-51.490085045 -24.6933273307 900
-51.3860325474 -24.4813960175 900
-51.3823205523 -24.0706880394 900
-51.1428439018 -23.8312113889 900
-50.8434980887 -23.6875253986 900
-50.7477074285 -23.5558132408 900
-50.5441522755 -23.2804150927 900
-50.4842831129 -23.0169907772 900
-50.4723092804 -22.7535664616 900
-50.3884924527 -22.3584299882 900
-50.2448064624 -21.8675028547 900
-50.1250681371 -21.4723663814 900
-50.0053298119 -21.1849944007 900
-49.825722324 -20.8617009226 900
-49.7538793288 -20.6820934347 900
-49.8616438216 -20.5743289419 900
-50.0412513095 -20.5743289419 900
> -L"parana_flood1300_zalan1987" 1300
-52.289230945 -21.331927859 1300
-52.5682927757 -21.5283047028 1300
-52.7418064058 -21.791434414 1300
-53.0245509669 -22.1223057089 1300
-53.0967410676 -22.3749710614 1300
-53.108772751 -22.513335421 1300
-52.9282974993 -22.6637314642 1300
-52.661313386 -22.7375726359 1300
-52.516614659 -22.8409288695 1300
-52.3013278669 -22.9530090231 1300
-52.1221747082 -23.1449988022 1300
-52.037952924 -23.2592997949 1300
-51.9958420319 -23.4217275215 1300
-52.0259212406 -23.6443136653 1300
-52.0990904243 -23.7687000418 1300
-52.0923491762 -23.9237487479 1300
-52.0319370823 -24.0293275357 1300
-51.8995885643 -23.9390899099 1300
-51.7485455236 -23.708028809 1300
-51.5867647946 -23.5179809891 1300
-51.4183212263 -23.301410687 1300
-51.3040202336 -23.060777018 1300
-51.3040202336 -22.8141275073 1300
-51.2859727084 -22.3930185865 1300
-51.316051917 -22.1283215506 1300
-51.316051917 -21.8756561982 1300
-51.3280836005 -21.6771334213 1300
-51.3521469674 -21.4545472774 1300
-51.4602022494 -21.2594551699 1300
-51.689034104 -21.2139136085 1300
-51.9416994564 -21.2199294502 1300
-52.1101430247 -21.268056184 1300
-52.2906182765 -21.334230443 1300
> -L"parana_flood1500_zalan1987" 1500
-52.0920054321 -21.4755083898 1500
-51.8162734587 -21.4368486245 1500
-51.6850772214 -21.6386889895 1500
-51.7254452944 -21.8708054093 1500
-51.7664917753 -22.1836579751 1500
-51.6726107755 -22.5174570854 1500
-51.589160998 -22.8929810846 1500
-51.7143356643 -23.0598806398 1500
-51.9438225527 -22.9555684178 1500
-52.1733094411 -22.7886688626 1500
-52.358697013 -22.5091451871 1500
-52.4697092138 -22.307304822 1500
-52.5100772868 -22.130942667 1500
-52.4505178348 -21.8430719825 1500
-52.2321331776 -21.6246873252 1500
-52.1903422697 -21.5034137981 1500
